% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
96,0.44999999999999996,10,0.05,0.05,44
92,0.9000000000000002,20,0.045,0.047,94
88,1.4000000000000006,30,0.05,0.048,144
84,1.850000000000001,40,0.045,0.047,194
80,2.3499999999999996,50,0.05,0.048,244
76,3.6999999999999984,60,0.135,0.063,294
73,4.149999999999997,70,0.045,0.06,344
69,4.649999999999995,80,0.05,0.059,394
65,5.149999999999993,90,0.05,0.058,444
61,5.599999999999992,100,0.045,0.057,494
57,6.94999999999999,110,0.135,0.065,544
53,7.399999999999989,120,0.045,0.065,594
49,7.849999999999987,130,0.045,0.064,644
45,8.34999999999999,140,0.05,0.065,694
41,8.849999999999998,150,0.05,0.065,744
37,9.350000000000005,160,0.05,0.056,794
33,10.800000000000011,170,0.145,0.066,844
29,11.300000000000018,180,0.05,0.066,894
25,12.700000000000024,190,0.14,0.075,944
22,13.15000000000003,200,0.045,0.075,994
18,13.650000000000038,210,0.05,0.067,1044
14,14.100000000000044,220,0.045,0.067,1094
10,16.40000000000005,230,0.23,0.086,1144
6,16.900000000000055,240,0.05,0.086,1194
2,17.400000000000063,250,0.05,0.086,1244
2,17.90000000000007,260,0.05,0.086,1294
2,18.350000000000076,270,0.045,0.076,1344
2,18.850000000000083,280,0.05,0.076,1394
2,19.30000000000009,290,0.045,0.066,1444
2,19.800000000000097,300,0.05,0.066,1494
2,20.300000000000104,310,0.05,0.066,1544
2,20.80000000000011,320,0.05,0.067,1594
2,21.300000000000118,330,0.05,0.049,1644
2,21.800000000000125,340,0.05,0.049,1694
2,22.300000000000132,350,0.05,0.049,1744
2,22.80000000000014,360,0.05,0.049,1794
2,23.300000000000146,370,0.05,0.049,1844
2,23.800000000000153,380,0.05,0.049,1894
2,24.30000000000016,390,0.05,0.05,1944
2,24.800000000000168,400,0.05,0.05,1994
2,25.300000000000175,410,0.05,0.05,2044
2,25.800000000000182,420,0.05,0.05,2094
2,26.30000000000019,430,0.05,0.05,2144
2,26.800000000000196,440,0.05,0.05,2194
2,27.300000000000203,450,0.05,0.05,2244
2,27.80000000000021,460,0.05,0.05,2294
2,28.300000000000217,470,0.05,0.05,2344
2,28.750000000000224,480,0.045,0.049,2394
2,29.20000000000023,490,0.045,0.049,2444
2,29.700000000000237,500,0.05,0.049,2494
2,30.200000000000244,510,0.05,0.049,2544
2,30.70000000000025,520,0.05,0.049,2594
2,31.20000000000026,530,0.05,0.049,2644
2,31.700000000000266,540,0.05,0.049,2694
2,32.20000000000026,550,0.05,0.049,2744
2,32.70000000000023,560,0.05,0.049,2794
2,33.2000000000002,570,0.05,0.049,2844
2,33.70000000000017,580,0.05,0.049,2894
2,34.200000000000145,590,0.05,0.05,2944
2,34.70000000000012,600,0.05,0.05,2994
2,38.0500000000001,610,0.335,0.078,3044
2,41.30000000000008,620,0.325,0.106,3094
2,44.450000000000074,630,0.315,0.132,3144
2,48.55000000000007,640,0.41,0.168,3194
2,51.70000000000006,650,0.315,0.195,3244
2,56.75000000000006,660,0.505,0.241,3294
2,63.800000000000054,670,0.705,0.306,3344
2,67.85000000000005,680,0.405,0.341,3394
2,70.05000000000004,690,0.22,0.358,3444
2,74.15000000000003,700,0.41,0.394,3494
2,78.20000000000003,710,0.405,0.401,3544
2,82.25000000000003,720,0.405,0.409,3594
2,88.25000000000003,730,0.6,0.438,3644
2,90.30000000000003,740,0.205,0.418,3694
2,93.30000000000003,750,0.3,0.416,3744
2,96.35000000000002,760,0.305,0.396,3794
2,101.35000000000002,770,0.5,0.375,3844
2,105.40000000000002,780,0.405,0.375,3894
2,109.40000000000002,790,0.4,0.393,3944
2,115.40000000000002,800,0.6,0.412,3994
2,120.40000000000002,810,0.5,0.422,4044
2,124.40000000000002,820,0.4,0.422,4094
2,131.40000000000003,830,0.7,0.432,4144
2,138.40000000000003,840,0.7,0.481,4194
2,145.45000000000005,850,0.705,0.522,4244
2,149.50000000000006,860,0.405,0.532,4294
2,153.50000000000006,870,0.4,0.522,4344
2,159.50000000000006,880,0.6,0.541,4394
2,163.60000000000008,890,0.41,0.542,4444
2,168.60000000000008,900,0.5,0.532,4494
2,170.7000000000001,910,0.21,0.503,4544
2,171.7000000000001,920,0.1,0.473,4594
2,174.7000000000001,930,0.3,0.433,4644
2,181.7000000000001,940,0.7,0.433,4694
2,187.7000000000001,950,0.6,0.422,4744
2,192.7000000000001,960,0.5,0.432,4794
2,197.7000000000001,970,0.5,0.442,4844
2,203.7000000000001,980,0.6,0.442,4894
2,209.7000000000001,990,0.6,0.461,4944
2,214.7000000000001,1000,0.5,0.461,4994
2,220.7000000000001,1010,0.6,0.5,5044
2,223.7500000000001,1020,0.305,0.52,5094
2,228.7500000000001,1030,0.5,0.54,5144
2,234.85000000000014,1040,0.61,0.532,5194
2,237.85000000000014,1050,0.3,0.502,5244
2,242.85000000000014,1060,0.5,0.502,5294
2,247.90000000000015,1070,0.505,0.502,5344
2,251.90000000000015,1080,0.4,0.482,5394
2,257.00000000000017,1090,0.51,0.473,5444
2,263.0500000000002,1100,0.605,0.483,5494
2,267.0500000000002,1110,0.4,0.463,5544
2,273.0500000000002,1120,0.6,0.493,5594
2,277.0500000000002,1130,0.4,0.483,5644
2,280.0500000000002,1140,0.3,0.452,5694
2,284.0500000000002,1150,0.4,0.462,5744
2,286.1500000000002,1160,0.21,0.433,5794
2,291.1500000000002,1170,0.5,0.432,5844
2,295.2000000000002,1180,0.405,0.433,5894
2,301.2000000000002,1190,0.6,0.442,5944
2,306.2500000000002,1200,0.505,0.432,5994
2,310.2500000000002,1210,0.4,0.432,6044
2,313.2500000000002,1220,0.3,0.402,6094
2,319.2500000000002,1230,0.6,0.422,6144
2,322.2500000000002,1240,0.3,0.422,6194
2,327.35000000000025,1250,0.51,0.433,6244
2,331.5000000000003,1260,0.415,0.453,6294
2,337.5000000000003,1270,0.6,0.464,6344
2,340.5000000000003,1280,0.3,0.453,6394
2,345.5000000000003,1290,0.5,0.443,6444
2,353.5000000000003,1300,0.8,0.472,6494
2,359.5000000000003,1310,0.6,0.492,6544
2,364.5000000000003,1320,0.5,0.512,6594
2,371.5000000000003,1330,0.7,0.522,6644
2,373.5000000000003,1340,0.2,0.512,6694
2,378.5500000000003,1350,0.505,0.512,6744
2,380.5500000000003,1360,0.2,0.49,6794
2,385.5500000000003,1370,0.5,0.48,6844
2,387.6000000000003,1380,0.205,0.471,6894
2,390.6500000000003,1390,0.305,0.452,6944
2,393.70000000000033,1400,0.305,0.402,6994
2,398.75000000000034,1410,0.505,0.392,7044
2,400.80000000000035,1420,0.205,0.363,7094
2,406.85000000000036,1430,0.605,0.353,7144
2,414.85000000000036,1440,0.8,0.414,7194
2,419.85000000000036,1450,0.5,0.413,7244
2,426.9000000000004,1460,0.705,0.463,7294
2,429.9500000000004,1470,0.305,0.444,7344
2,434.9500000000004,1480,0.5,0.473,7394
2,438.9500000000004,1490,0.4,0.483,7444
2,444.0000000000004,1500,0.505,0.503,7494
