# {"env_id": "Acrobot-v1", "t_start": 1572046359.397239} 
r,l,t
-200.0,200,205.37278
-200.0,200,206.166207
-200.0,200,206.955746
-200.0,200,207.751911
-200.0,200,208.540616
-200.0,200,209.339776
-200.0,200,210.142532
-200.0,200,210.935803
-200.0,200,211.731482
-200.0,200,212.527246
-200.0,200,213.318902
-200.0,200,214.114285
-200.0,200,214.920093
-200.0,200,215.709167
-200.0,200,216.503767
-200.0,200,217.299916
-200.0,200,218.093035
-200.0,200,218.883142
-200.0,200,219.691204
-200.0,200,220.484016
-200.0,200,221.282643
-200.0,200,222.077481
-200.0,200,222.865551
-200.0,200,223.671463
-200.0,200,224.481184
-200.0,200,225.279527
-200.0,200,226.070275
-200.0,200,226.864111
-200.0,200,227.669229
-200.0,200,228.457106
-200.0,200,229.249498
-200.0,200,230.047275
-200.0,200,230.843564
-182.0,183,231.564665
-200.0,200,232.352338
-200.0,200,233.145594
-200.0,200,233.940169
-166.0,167,234.603493
-200.0,200,235.397467
-200.0,200,236.18974
-200.0,200,237.002466
-200.0,200,237.807161
-200.0,200,238.59517
-200.0,200,239.394024
-200.0,200,240.191718
-200.0,200,240.988431
-200.0,200,241.783403
-200.0,200,242.580963
-114.0,115,243.04136
-116.0,117,243.503269
-193.0,194,244.27953
-200.0,200,245.088373
-115.0,116,245.556414
-200.0,200,246.34655
-168.0,169,247.018276
-152.0,153,247.624061
-181.0,182,248.34369
-128.0,129,248.857335
-200.0,200,249.648953
-160.0,161,250.289949
-200.0,200,251.080635
-200.0,200,251.877714
-200.0,200,252.668011
-187.0,188,253.412837
-113.0,114,253.862739
-200.0,200,254.653362
-169.0,170,255.327511
-200.0,200,256.138988
-200.0,200,256.923178
-169.0,170,257.599873
-200.0,200,258.386598
-200.0,200,259.187247
-200.0,200,259.97228
-200.0,200,260.763159
-138.0,139,261.325154
-166.0,167,261.989319
-154.0,155,262.607667
-178.0,179,263.312319
-170.0,171,263.983622
-200.0,200,264.779175
-200.0,200,265.571451
-200.0,200,266.360549
-200.0,200,267.177409
-140.0,141,267.740279
-141.0,142,268.305702
-146.0,147,268.887901
-148.0,149,269.483919
-141.0,142,270.045868
-197.0,198,270.836383
-126.0,127,271.336312
-157.0,158,271.963869
-180.0,181,272.679232
-104.0,105,273.094662
-119.0,120,273.5725
-156.0,157,274.190751
-183.0,184,274.920812
-139.0,140,275.474838
-106.0,107,275.905341
-140.0,141,276.47521
-200.0,200,277.275002
-191.0,192,278.030326
-98.0,99,278.420071
-200.0,200,279.202019
-117.0,118,279.672948
-140.0,141,280.228684
-169.0,170,280.903389
-97.0,98,281.297766
-164.0,165,281.945403
-113.0,114,282.395282
-160.0,161,283.027829
-111.0,112,283.470974
-115.0,116,283.929801
-116.0,117,284.39089
-161.0,162,285.034347
-159.0,160,285.671797
-89.0,90,286.028617
-96.0,97,286.42118
-91.0,92,286.78365
-124.0,125,287.278975
-95.0,96,287.658415
-130.0,131,288.176882
-159.0,160,288.809225
-102.0,103,289.216308
-143.0,144,289.791929
-119.0,120,290.264721
-126.0,127,290.767017
-119.0,120,291.242487
-105.0,106,291.662134
-122.0,123,292.15959
-114.0,115,292.610072
-132.0,133,293.135611
-128.0,129,293.646904
-156.0,157,294.265936
-148.0,149,294.853441
-118.0,119,295.320683
-112.0,113,295.764488
-187.0,188,296.509969
-127.0,128,297.019222
-200.0,200,297.809418
-94.0,95,298.185651
-97.0,98,298.568483
-136.0,137,299.109181
-97.0,98,299.489282
-100.0,101,299.888535
-142.0,143,300.449527
-111.0,112,300.895046
-107.0,108,301.32376
-88.0,89,301.677063
-200.0,200,302.465377
-162.0,163,303.106412
-113.0,114,303.555731
-142.0,143,304.120086
-89.0,90,304.473019
-117.0,118,304.938848
-101.0,102,305.339488
-134.0,135,305.873995
-127.0,128,306.377274
-98.0,99,306.783747
-166.0,167,307.445964
-121.0,122,307.932404
-111.0,112,308.374965
-148.0,149,308.961106
-106.0,107,309.380355
-158.0,159,310.00966
-108.0,109,310.441479
-109.0,110,310.880566
-112.0,113,311.327823
-110.0,111,311.789072
-140.0,141,312.352834
-138.0,139,312.905355
-96.0,97,313.292056
-145.0,146,313.880193
-117.0,118,314.345113
-91.0,92,314.71001
-86.0,87,315.050768
-88.0,89,315.399592
-97.0,98,315.785228
-110.0,111,316.222563
-118.0,119,316.698047
-129.0,130,317.214792
-97.0,98,317.605505
-161.0,162,318.245418
-156.0,157,318.864075
-136.0,137,319.405088
-113.0,114,319.854265
-135.0,136,320.391835
-128.0,129,320.903777
-133.0,134,321.435735
-134.0,135,321.972152
-126.0,127,322.495325
-121.0,122,322.984953
-113.0,114,323.435718
-106.0,107,323.874188
-87.0,88,324.224586
-124.0,125,324.720448
-90.0,91,325.081126
-113.0,114,325.534427
-106.0,107,325.967858
-75.0,76,326.269753
-126.0,127,326.769625
-90.0,91,327.139935
-78.0,79,327.453684
-100.0,101,327.85381
-94.0,95,328.238115
-89.0,90,328.594078
-114.0,115,329.049706
-94.0,95,329.427613
-99.0,100,329.826984
-116.0,117,330.289937
-146.0,147,330.872736
-200.0,200,331.676637
-101.0,102,332.093708
-93.0,94,332.47395
-104.0,105,332.889741
-98.0,99,333.283786
-100.0,101,333.685166
-169.0,170,334.363063
-121.0,122,334.849437
-116.0,117,335.311729
-126.0,127,335.813811
-113.0,114,336.272069
-136.0,137,336.81254
-101.0,102,337.242718
-76.0,77,337.553101
-109.0,110,337.998414
-104.0,105,338.421602
-84.0,85,338.75785
-117.0,118,339.223864
-102.0,103,339.628716
-119.0,120,340.105699
-98.0,99,340.501483
-89.0,90,340.859823
-183.0,184,341.588327
-84.0,85,341.923776
-83.0,84,342.258388
-118.0,119,342.736246
-94.0,95,343.116146
-100.0,101,343.518057
-115.0,116,343.984295
-177.0,178,344.706614
-99.0,100,345.106706
-86.0,87,345.46208
-144.0,145,346.033128
-115.0,116,346.494057
-115.0,116,346.95903
-97.0,98,347.34862
-91.0,92,347.715913
-102.0,103,348.129289
