% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
99,0.0,10,0.0,0.0,179
99,0.0,20,0.0,0.0,379
98,0.0,30,0.0,0.0,579
98,0.0,40,0.0,0.0,779
97,0.0,50,0.0,0.0,979
97,0.0,60,0.0,0.0,1179
96,0.0,70,0.0,0.0,1379
96,0.0,80,0.0,0.0,1579
95,0.0,90,0.0,0.0,1779
95,0.0,100,0.0,0.0,1979
94,0.0,110,0.0,0.0,2179
94,0.0,120,0.0,0.0,2379
93,0.0,130,0.0,0.0,2579
93,0.0,140,0.0,0.0,2779
92,0.0,150,0.0,0.0,2979
92,0.0,160,0.0,0.0,3179
91,0.0,170,0.0,0.0,3379
91,0.0,180,0.0,0.0,3579
90,0.0,190,0.0,0.0,3779
90,0.0,200,0.0,0.0,3979
89,0.0,210,0.0,0.0,4179
89,0.0,220,0.0,0.0,4379
88,0.0,230,0.0,0.0,4579
88,0.0,240,0.0,0.0,4779
87,0.0,250,0.0,0.0,4979
87,0.0,260,0.0,0.0,5179
86,0.0,270,0.0,0.0,5379
86,0.0,280,0.0,0.0,5579
85,0.0,290,0.0,0.0,5779
85,0.0,300,0.0,0.0,5979
84,0.0,310,0.0,0.0,6179
84,0.0,320,0.0,0.0,6379
83,0.0,330,0.0,0.0,6579
83,0.0,340,0.0,0.0,6779
82,0.0,350,0.0,0.0,6979
82,0.0,360,0.0,0.0,7179
81,0.0,370,0.0,0.0,7379
81,0.0,380,0.0,0.0,7579
80,0.0,390,0.0,0.0,7779
80,0.0,400,0.0,0.0,7979
79,0.0,410,0.0,0.0,8179
79,0.0,420,0.0,0.0,8379
78,0.0,430,0.0,0.0,8579
78,0.0,440,0.0,0.0,8779
78,0.0,450,0.0,0.0,8979
77,0.0,460,0.0,0.0,9179
77,0.0,470,0.0,0.0,9379
76,0.0,480,0.0,0.0,9579
76,0.0,490,0.0,0.0,9779
75,0.0,500,0.0,0.0,9979
75,0.0,510,0.0,0.0,10179
74,0.0,520,0.0,0.0,10379
74,0.0,530,0.0,0.0,10579
73,0.0,540,0.0,0.0,10779
73,0.0,550,0.0,0.0,10979
72,0.0,560,0.0,0.0,11179
72,0.0,570,0.0,0.0,11379
71,0.0,580,0.0,0.0,11579
71,0.0,590,0.0,0.0,11779
70,0.0,600,0.0,0.0,11979
70,0.0,610,0.0,0.0,12179
69,0.0,620,0.0,0.0,12379
69,0.0,630,0.0,0.0,12579
68,0.0,640,0.0,0.0,12779
68,0.0,650,0.0,0.0,12979
67,0.0,660,0.0,0.0,13179
67,0.0,670,0.0,0.0,13379
66,0.0,680,0.0,0.0,13579
66,0.0,690,0.0,0.0,13779
65,0.0,700,0.0,0.0,13979
65,0.0,710,0.0,0.0,14179
64,0.0,720,0.0,0.0,14379
64,0.0,730,0.0,0.0,14579
63,0.0,740,0.0,0.0,14779
63,0.0,750,0.0,0.0,14979
62,0.0,760,0.0,0.0,15179
62,0.0,770,0.0,0.0,15379
61,0.0,780,0.0,0.0,15579
61,0.0,790,0.0,0.0,15779
60,0.0,800,0.0,0.0,15979
60,0.0,810,0.0,0.0,16179
59,0.0,820,0.0,0.0,16379
59,0.0,830,0.0,0.0,16579
58,0.0,840,0.0,0.0,16779
58,0.0,850,0.0,0.0,16979
57,0.0,860,0.0,0.0,17179
57,0.0,870,0.0,0.0,17379
56,0.0,880,0.0,0.0,17579
56,0.0,890,0.0,0.0,17779
55,0.0,900,0.0,0.0,17979
55,0.0,910,0.0,0.0,18179
54,0.0,920,0.0,0.0,18379
54,0.0,930,0.0,0.0,18579
53,0.0,940,0.0,0.0,18779
53,0.0,950,0.0,0.0,18979
53,0.0,960,0.0,0.0,19179
52,0.0,970,0.0,0.0,19379
52,0.0,980,0.0,0.0,19579
51,0.0,990,0.0,0.0,19779
51,0.0,1000,0.0,0.0,19979
50,0.0,1010,0.0,0.0,20179
50,0.0,1020,0.0,0.0,20379
49,0.0,1030,0.0,0.0,20579
49,0.0,1040,0.0,0.0,20779
48,0.0,1050,0.0,0.0,20979
48,0.0,1060,0.0,0.0,21179
47,0.0,1070,0.0,0.0,21379
47,0.0,1080,0.0,0.0,21579
46,0.0,1090,0.0,0.0,21779
46,0.0,1100,0.0,0.0,21979
45,0.0,1110,0.0,0.0,22179
45,0.0,1120,0.0,0.0,22379
44,0.0,1130,0.0,0.0,22579
44,0.0,1140,0.0,0.0,22779
43,0.0,1150,0.0,0.0,22979
43,0.0,1160,0.0,0.0,23179
42,0.0,1170,0.0,0.0,23379
42,0.0,1180,0.0,0.0,23579
41,0.0,1190,0.0,0.0,23779
41,0.0,1200,0.0,0.0,23979
40,0.0,1210,0.0,0.0,24179
40,0.0,1220,0.0,0.0,24379
39,0.0,1230,0.0,0.0,24579
39,0.0,1240,0.0,0.0,24779
38,0.0,1250,0.0,0.0,24979
38,0.0,1260,0.0,0.0,25179
37,0.0,1270,0.0,0.0,25379
37,0.0,1280,0.0,0.0,25579
36,0.0,1290,0.0,0.0,25779
36,0.0,1300,0.0,0.0,25979
35,0.0,1310,0.0,0.0,26179
35,0.0,1320,0.0,0.0,26379
34,0.0,1330,0.0,0.0,26579
34,0.0,1340,0.0,0.0,26779
33,0.0,1350,0.0,0.0,26979
33,0.0,1360,0.0,0.0,27179
32,0.0,1370,0.0,0.0,27379
32,0.0,1380,0.0,0.0,27579
31,0.0,1390,0.0,0.0,27779
31,0.0,1400,0.0,0.0,27979
30,0.0,1410,0.0,0.0,28179
30,0.0,1420,0.0,0.0,28379
29,0.0,1430,0.0,0.0,28579
29,0.0,1440,0.0,0.0,28779
29,0.0,1450,0.0,0.0,28979
28,0.0,1460,0.0,0.0,29179
28,0.0,1470,0.0,0.0,29379
27,0.0,1480,0.0,0.0,29579
27,0.0,1490,0.0,0.0,29779
26,0.0,1500,0.0,0.0,29979
26,0.0,1510,0.0,0.0,30179
25,0.0,1520,0.0,0.0,30379
25,0.0,1530,0.0,0.0,30579
24,0.0,1540,0.0,0.0,30779
24,0.0,1550,0.0,0.0,30979
23,0.0,1560,0.0,0.0,31179
23,0.0,1570,0.0,0.0,31379
22,0.0,1580,0.0,0.0,31579
22,0.0,1590,0.0,0.0,31779
21,0.0,1600,0.0,0.0,31979
21,0.0,1610,0.0,0.0,32179
20,0.0,1620,0.0,0.0,32379
20,0.0,1630,0.0,0.0,32579
19,0.0,1640,0.0,0.0,32779
19,0.0,1650,0.0,0.0,32979
18,0.0,1660,0.0,0.0,33179
18,0.0,1670,0.0,0.0,33379
17,0.0,1680,0.0,0.0,33579
17,0.0,1690,0.0,0.0,33779
16,0.0,1700,0.0,0.0,33979
16,0.0,1710,0.0,0.0,34179
15,0.0,1720,0.0,0.0,34379
15,0.0,1730,0.0,0.0,34579
14,0.0,1740,0.0,0.0,34779
14,0.0,1750,0.0,0.0,34979
13,0.0,1760,0.0,0.0,35179
13,0.0,1770,0.0,0.0,35379
12,0.0,1780,0.0,0.0,35579
12,0.0,1790,0.0,0.0,35779
11,0.0,1800,0.0,0.0,35979
