% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
98,1.7999999999999998,10,0.2,0.2,89
96,3.800000000000001,20,0.2,0.2,189
94,5.8000000000000025,30,0.2,0.2,289
92,7.800000000000004,40,0.2,0.2,389
90,9.799999999999997,50,0.2,0.2,489
88,11.79999999999999,60,0.2,0.2,589
86,13.799999999999983,70,0.2,0.2,689
84,15.799999999999976,80,0.2,0.2,789
82,17.79999999999997,90,0.2,0.2,889
80,19.79999999999996,100,0.2,0.2,989
78,21.799999999999955,110,0.2,0.2,1089
76,23.799999999999947,120,0.2,0.2,1189
74,25.79999999999994,130,0.2,0.2,1289
72,27.799999999999933,140,0.2,0.2,1389
70,29.799999999999926,150,0.2,0.2,1489
68,31.79999999999992,160,0.2,0.2,1589
66,33.79999999999994,170,0.2,0.2,1689
64,35.79999999999997,180,0.2,0.2,1789
62,37.8,190,0.2,0.2,1889
61,39.800000000000026,200,0.2,0.2,1989
59,41.800000000000054,210,0.2,0.2,2089
57,43.80000000000008,220,0.2,0.2,2189
55,45.80000000000011,230,0.2,0.2,2289
53,47.80000000000014,240,0.2,0.2,2389
51,49.80000000000017,250,0.2,0.2,2489
49,51.800000000000196,260,0.2,0.2,2589
47,53.800000000000225,270,0.2,0.2,2689
45,55.80000000000025,280,0.2,0.2,2789
43,57.80000000000028,290,0.2,0.2,2889
41,59.80000000000031,300,0.2,0.2,2989
39,61.80000000000034,310,0.2,0.2,3089
37,63.80000000000037,320,0.2,0.2,3189
35,65.8000000000004,330,0.2,0.2,3289
33,67.80000000000042,340,0.2,0.2,3389
31,69.80000000000045,350,0.2,0.2,3489
29,71.80000000000048,360,0.2,0.2,3589
27,73.80000000000051,370,0.2,0.2,3689
25,75.80000000000054,380,0.2,0.2,3789
23,77.80000000000057,390,0.2,0.2,3889
21,79.8000000000006,400,0.2,0.2,3989
19,81.80000000000062,410,0.2,0.2,4089
17,83.80000000000065,420,0.2,0.2,4189
15,85.80000000000068,430,0.2,0.2,4289
13,87.80000000000071,440,0.2,0.2,4389
12,89.80000000000074,450,0.2,0.2,4489
10,91.80000000000076,460,0.2,0.2,4589
8,93.8000000000008,470,0.2,0.2,4689
6,95.80000000000082,480,0.2,0.2,4789
4,97.80000000000085,490,0.2,0.2,4889
2,99.80000000000088,500,0.2,0.2,4989
2,101.8000000000009,510,0.2,0.2,5089
2,103.80000000000094,520,0.2,0.2,5189
2,105.80000000000096,530,0.2,0.2,5289
2,107.80000000000099,540,0.2,0.2,5389
2,109.80000000000102,550,0.2,0.2,5489
2,111.80000000000105,560,0.2,0.2,5589
2,113.80000000000108,570,0.2,0.2,5689
2,115.8000000000011,580,0.2,0.2,5789
2,117.80000000000113,590,0.2,0.2,5889
2,119.80000000000116,600,0.2,0.2,5989
2,121.80000000000119,610,0.2,0.2,6089
2,123.80000000000122,620,0.2,0.2,6189
2,125.80000000000125,630,0.2,0.2,6289
2,127.80000000000128,640,0.2,0.2,6389
2,129.80000000000118,650,0.2,0.2,6489
2,131.80000000000106,660,0.2,0.2,6589
2,133.80000000000095,670,0.2,0.2,6689
2,135.80000000000084,680,0.2,0.2,6789
2,137.80000000000072,690,0.2,0.2,6889
2,139.8000000000006,700,0.2,0.2,6989
2,141.8000000000005,710,0.2,0.2,7089
2,143.80000000000038,720,0.2,0.2,7189
2,145.80000000000027,730,0.2,0.2,7289
2,147.80000000000015,740,0.2,0.2,7389
2,149.80000000000004,750,0.2,0.2,7489
2,151.79999999999993,760,0.2,0.2,7589
2,153.7999999999998,770,0.2,0.2,7689
2,155.7999999999997,780,0.2,0.2,7789
2,157.79999999999959,790,0.2,0.2,7889
2,159.79999999999947,800,0.2,0.2,7989
2,161.79999999999936,810,0.2,0.2,8089
2,163.79999999999924,820,0.2,0.2,8189
2,165.79999999999913,830,0.2,0.2,8289
2,167.79999999999902,840,0.2,0.2,8389
2,169.7999999999989,850,0.2,0.2,8489
2,171.7999999999988,860,0.2,0.2,8589
2,173.79999999999868,870,0.2,0.2,8689
2,175.79999999999856,880,0.2,0.2,8789
2,177.79999999999845,890,0.2,0.2,8889
2,179.79999999999833,900,0.2,0.2,8989
2,181.79999999999822,910,0.2,0.2,9089
2,183.7999999999981,920,0.2,0.2,9189
2,185.799999999998,930,0.2,0.2,9289
2,187.79999999999788,940,0.2,0.2,9389
2,189.79999999999777,950,0.2,0.2,9489
